detectorid,starttime,volume,speed,occupancy,status
1130,2010-07-20 01:49:20-07,1,59,1,2
1130,2010-07-20 01:49:40-07,1,69,1,2
1130,2010-07-20 01:50:00-07,1,51,1,2
1130,2010-07-20 01:50:20-07,1,58,1,2
1130,2010-07-20 01:50:40-07,1,58,1,2
1130,2010-07-20 01:51:00-07,0,-1,0,0
1130,2010-07-20 01:51:20-07,0,-1,0,0
1130,2010-07-20 01:51:40-07,0,-1,0,0
1130,2010-07-20 01:52:00-07,0,-1,0,0
1130,2010-07-20 01:52:20-07,0,-1,0,0
1130,2010-07-20 01:52:40-07,0,-1,0,0
1130,2010-07-20 01:53:00-07,2,58,4,2
1130,2010-07-20 01:53:20-07,0,-1,0,0
1130,2010-07-20 01:53:40-07,0,-1,0,0
1130,2010-07-20 01:54:00-07,0,-1,0,0
1130,2010-07-20 01:54:20-07,0,-1,0,0
1130,2010-07-20 01:54:40-07,2,58,3,2
1130,2010-07-20 01:55:00-07,0,-1,0,0
1130,2010-07-20 01:55:20-07,0,-1,0,0
1130,2010-07-20 01:55:40-07,2,70,3,2
1130,2010-07-20 01:56:00-07,2,58,4,2
1130,2010-07-20 01:56:20-07,0,-1,0,0
1130,2010-07-20 01:56:40-07,1,59,5,2
1130,2010-07-20 01:57:00-07,0,-1,0,0
1130,2010-07-20 01:57:20-07,0,-1,0,0
1130,2010-07-20 01:57:40-07,1,58,1,2
1130,2010-07-20 01:58:00-07,1,72,1,2
1130,2010-07-20 01:58:20-07,0,-1,0,0
1130,2010-07-20 01:58:40-07,1,51,1,2
1130,2010-07-20 01:59:00-07,0,-1,0,0
1130,2010-07-20 01:59:20-07,1,61,1,2
1130,2010-07-20 01:59:40-07,0,-1,0,0
1130,2010-07-20 02:00:00-07,0,-1,0,0
1130,2010-07-20 02:00:20-07,3,63,5,2
1130,2010-07-20 02:00:40-07,2,55,6,2
1130,2010-07-20 02:01:00-07,0,-1,0,0
1130,2010-07-20 02:01:20-07,0,-1,0,0
1130,2010-07-20 02:01:40-07,1,59,0,3
1130,2010-07-20 02:02:00-07,1,58,3,2
1130,2010-07-20 02:02:20-07,0,-1,0,0
1130,2010-07-20 02:02:40-07,0,-1,0,0
1130,2010-07-20 02:03:00-07,0,-1,0,0
1130,2010-07-20 02:03:20-07,2,60,3,2
1130,2010-07-20 02:03:40-07,0,-1,0,0
1130,2010-07-20 02:04:00-07,0,-1,0,0
1130,2010-07-20 02:04:20-07,1,51,1,2
1130,2010-07-20 02:04:40-07,0,-1,0,0
1130,2010-07-20 02:05:00-07,2,71,2,2
1130,2010-07-20 02:05:20-07,1,51,1,2
1130,2010-07-20 02:05:40-07,1,58,1,2
1130,2010-07-20 02:06:00-07,1,58,1,2
1130,2010-07-20 02:06:20-07,1,61,1,2
1130,2010-07-20 02:06:40-07,0,-1,0,0
1130,2010-07-20 02:07:00-07,0,-1,0,0
1130,2010-07-20 02:07:20-07,0,-1,0,0
